name,state_code,status,target_failure,funding_rounds,funding_total_usd,milestones,relationships,is_top500,has_VC,has_roundA,has_roundB,age_first_funding_year,age_last_funding_year,pred_failure_prob_rf,risk_bucket_rf
Bandsintown,CA,acquired,0,3,375000,3,3,0,0,0,0,2.2493,3.0027,0.32716551727181187,Low
TriCipher,CA,acquired,0,4,40100000,1,9,1,1,0,1,5.126,9.9973,0.1822702951159255,Low
Plixi,CA,acquired,0,1,2600000,2,5,1,0,1,0,1.0329,1.0329,0.2020056391619402,Low
Solidcore Systems,CA,acquired,0,3,40000000,1,5,1,0,0,1,3.1315,5.3151,0.15145322761852353,Low
Inhale Digital,CA,closed,1,2,1300000,1,2,1,1,0,0,0.0,1.6685,0.7232646873459845,High
Matisse Networks,CA,closed,1,1,7500000,1,3,1,0,0,1,4.5452,4.5452,0.4795560560042218,Medium
RingCube Technologies,CA,acquired,0,3,26000000,2,6,1,1,1,1,1.7205,5.211,0.2238487587144336,Low
ClairMail,CA,acquired,0,3,34100000,3,25,1,0,1,1,1.6466,6.7616,0.0632672224542925,Low
VoodooVox,MA,acquired,0,3,9650000,4,13,1,1,1,0,3.5863,11.1123,0.20745915924708278,Low
Doostang,CA,acquired,0,3,5750000,4,14,1,1,1,0,1.6712,4.6849,0.1339310448526874,Low
Zong,CA,acquired,0,3,27500000,3,22,1,0,1,1,4.6274,9.4493,0.1430506952807293,Low
Center'd,CA,closed,1,5,10400000,2,8,1,1,1,0,1.0849,5.3370000000000015,0.4351522781968734,Medium
Resonant Vibes,KY,closed,1,1,350000,0,0,0,1,0,0,4.9041,4.9041,0.8963897248969793,High
drop.io,NY,acquired,0,3,9950000,3,15,1,0,1,1,0.0192,2.4356,0.05747180603662489,Low
Stratavia,CO,acquired,0,5,10700000,1,12,1,0,1,1,4.6658,8.9973,0.13059476578173942,Low
Invicta Networks,VA,closed,1,1,200000,0,0,0,1,0,0,6.6082,6.6082,0.8600193628618344,High
QSecure,CA,closed,1,5,49000000,1,8,1,1,1,1,2.5863,6.7644,0.4263826579255812,Medium
MeeVee,CA,acquired,0,4,25000000,3,7,1,0,1,1,4.5918,7.1726,0.13406976293619427,Low
SinglePlatform,NY,acquired,0,3,4575000,3,10,1,0,1,0,0.7425,1.5808,0.07160214771936442,Low
Bling Nation,CA,closed,1,2,28000000,3,13,1,0,1,1,2.5014,2.8301,0.14697629357145262,Low
Metreos Corporation,TX,acquired,0,2,4355000,3,8,0,0,1,0,2.2137,3.7863,0.42581119502096887,Medium
Hidden City Games,WA,closed,1,1,15000000,1,3,1,0,0,1,3.8329,3.8329,0.34958999957416437,Medium
Neopolitan Networks,CA,closed,1,1,3170000,1,1,0,0,1,0,5.4904,5.4904,0.6928906330321921,High
Pixelpipe,CA,closed,1,2,2300000,3,4,0,0,1,0,-1.0,3.3151,0.47784511821924347,Medium
EventVue,CO,closed,1,2,455000,0,5,1,0,1,0,0.2521,0.337,0.6490423081254642,Medium
